POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
2,Shikhar Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
3,David Warner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
4,Shreyas Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,40,16
5,Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
6,Quinton de Kock,16,16,2,503,78*,35.92,358,140.5,0,4,46,22
7,Suryakumar Yadav,16,15,3,480,79*,40.0,331,145.01,0,4,61,11
8,Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8
9,Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
10,AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,33,23
11,Faf du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
12,Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
13,Manish Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
14,Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
15,Eoin Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,32,24
16,Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
17,Ambati Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,30,12
18,Nicholas Pooran,14,14,4,353,77,35.3,208,169.71,0,2,23,25
19,Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
20,Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
