POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shivam Dube,8,8,1,247,95*,35.29,155,159.35,0,2,19,14
2,Ambati Rayudu,8,7,0,246,78,35.14,190,129.47,0,1,22,14
3,Robin Uthappa,8,8,0,228,88,28.50,161,141.61,0,2,19,14
4,Ruturaj Gaikwad,8,8,0,138,73,17.25,117,117.94,0,1,15,5
5,MS Dhoni,8,7,4,132,50*,44.00,99,133.33,0,1,14,5
6,Ravindra Jadeja,8,8,3,112,26*,22.40,92,121.73,0,0,6,5
7,Moeen Ali,5,5,0,87,48,17.40,70,124.28,0,0,7,4
8,Dwaine Pretorius,4,4,1,31,22,10.33,20,155.0,0,0,2,2
9,Mitchell Santner,3,2,0,20,11,10.00,24,83.33,0,0,3,0
10,Chris Jordan,4,2,1,11,6*,11.00,8,137.5,0,0,0,0
11,Dwayne Bravo,8,4,3,10,8*,10.00,8,125.0,0,0,1,0
12,Devon Conway,1,1,0,3,3,3.00,8,37.5,0,0,0,0
13,Mukesh Choudhary,7,1,1,2,2*,-,2,100.0,0,0,0,0
