POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shubman Gill,17,17,0,478,57,28.11,402,118.9,0,3,50,12
2,Rahul Tripathi,17,16,2,397,74*,28.35,283,140.28,0,2,41,11
3,Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17
4,Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14
5,Dinesh Karthik,17,15,5,223,40,22.3,170,131.17,0,0,22,7
6,Andre Russell,10,9,2,183,54,26.14,120,152.5,0,1,14,14
7,Eoin Morgan,17,16,4,133,47*,11.08,139,95.68,0,0,8,6
8,Pat Cummins,7,5,2,93,66*,31.0,56,166.07,0,1,5,8
9,Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5
10,Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1
11,Shivam Mavi,9,2,0,25,20,12.5,20,125.0,0,0,2,2
12,Lockie Ferguson,8,3,3,18,18*,0.0,11,163.63,0,0,1,1
13,Harbhajan Singh,3,2,2,4,2*,0.0,4,100.0,0,0,0,0
14,Tim Southee,3,1,0,3,3,3.0,5,60.0,0,0,0,0
15,Tim Seifert,1,1,0,2,2,2.0,4,50.0,0,0,0,0
16,Varun Chakaravarthy,17,3,2,2,2*,2.0,4,50.0,0,0,0,0
17,Kamlesh Nagarkoti,1,1,0,0,0*,0.0,2,0.0,0,0,0,0
18,Prasidh Krishna,10,2,1,0,0*,0.0,1,0.0,0,0,0,0
