POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Parthiv Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8
2,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22
3,Rohit Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9
4,Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,29,13
5,Lendl Simmons,7,7,0,137,66,19.57,112,122.32,0,2,10,8
6,Suryakumar Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3
7,Saurabh Tiwary,1,1,0,52,52,52.0,43,120.93,0,1,9,0
8,Basil Thampi,12,5,5,28,13*,0.0,28,100.0,0,0,1,1
9,Mitchell Johnson,5,3,3,20,13*,0.0,17,117.64,0,0,1,1
10,Harbhajan Singh,11,7,5,16,7*,8.0,16,100.0,0,0,0,1
11,Mitchell McClenaghan,14,7,3,16,12,4.0,15,106.66,0,0,0,1
12,Jasprit Bumrah,16,2,1,16,16*,16.0,12,133.33,0,0,0,1
13,Tymal Mills,5,3,0,8,6,2.66,11,72.72,0,0,0,1
14,Lasith Malinga,12,2,2,7,7*,0.0,3,233.33,0,0,0,1
15,Jaydev Unadkat,12,2,2,2,2*,0.0,5,40.0,0,0,0,0
