POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
2,Virat Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
3,AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
4,Tillakaratne Dilshan,10,10,2,226,59*,28.25,180,125.55,0,2,33,3
5,Saurabh Tiwary,16,13,5,187,42*,23.37,188,99.46,0,0,13,5
6,Mayank Agarwal,8,7,0,141,41,20.14,120,117.5,0,0,16,4
7,Luke Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2
8,Mohammad Kaif,8,4,1,41,15,13.66,33,124.24,0,0,5,0
9,Cheteshwar Pujara,7,3,0,34,25,11.33,31,109.67,0,0,4,0
10,Asad Pathan,6,5,1,33,14,8.25,16,206.25,0,0,5,2
11,Abhimanyu Mithun,12,6,3,27,11,9.0,20,135.0,0,0,3,1
12,Daniel Vettori,13,4,3,23,18*,23.0,28,82.14,0,0,1,1
13,Zaheer Khan,15,2,0,21,21,10.5,24,87.5,0,0,2,0
14,Johan van der Wath,3,3,1,18,14*,9.0,16,112.5,0,0,1,1
15,Syed Mohammad,5,2,2,15,13*,0.0,12,125.0,0,0,2,0
16,Sreenath Aravind,13,2,2,13,11*,0.0,8,162.5,0,0,2,0
17,Charl Langeveldt,3,1,0,8,8,8.0,8,100.0,0,0,0,1
18,Arun Karthik,3,2,0,7,6,3.5,8,87.5,0,0,1,0
19,Ryan Ninan,2,1,0,3,3,3.0,6,50.0,0,0,0,0
