POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Ajinkya Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9
2,Sanju Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13
3,Steve Smith,12,10,2,319,73*,39.87,275,116.0,0,3,30,4
4,Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14
5,Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5
6,Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2
7,Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4
8,Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5
9,Stuart Binny,8,5,2,70,33*,23.33,40,175.0,0,0,5,4
10,Jofra Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4
11,Shreyas Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1
12,Krishnappa Gowtham,7,4,1,18,9,6.0,19,94.73,0,0,1,1
13,Mahipal Lomror,2,1,0,8,8,8.0,3,266.66,0,0,2,0
14,Ish Sodhi,2,1,0,6,6,6.0,11,54.54,0,0,0,0
15,Dhawal Kulkarni,10,1,1,5,5*,0.0,3,166.66,0,0,1,0
16,Ashton Turner,4,4,1,3,3*,1.0,10,30.0,0,0,0,0
17,Varun Aaron,5,1,1,3,3*,0.0,7,42.85,0,0,0,0
18,Jaydev Unadkat,11,4,3,1,1,1.0,3,33.33,0,0,0,0
